constellation_id,name,distance,mass,radius,visible
1,Beta Aquarii,550,4.97,47.88,TRUE
1,Alpha Aquarii,520,5.13,52.89,TRUE
1,Delta Aquarii,113,2.51,2.4,TRUE
1,Lambda Aquarii,365,3.6,44.1,TRUE
1,Epsilon Aquarii,208,2.98,2.5,TRUE
1,98 Aquarii,163,2.1,14,TRUE
1,100 Aquarii,242,1.83,2.51,FALSE
1,LP Aquarii,890,1.56,83,FALSE
1,53 Aquarii,66,1.01,1.11,FALSE
1,R Aquarii,1300,1.3,430,FALSE
2,Epsilon Sagittarii,143,3.515,6.8,TRUE
2,Sigma Sagittarii,228,7.8,4.5,TRUE
2,Delta Sagittarii,348,3.21,16,TRUE
2,Lambda Sagittarii,78,2.6,11.2,TRUE
2,Phi Sagittarii,239,3.41,4.8,TRUE
2,Ross 154,10,0.177,0.2,FALSE
2,Tau Sagittarii,115,1.25,15.71,TRUE
2,Omicron Sagittarii,142,1.8,12.09,TRUE
2,Iota Sagittarii,182,1.4,14,TRUE
2,X Sagittarii,950,6.31,53,TRUE
2,Omega Sagittarii,76,1.52,2.87,TRUE
2,HR 6801,258,2.24,13.35,TRUE
2,HD 190056,291,1.48,19,TRUE
2,V4024 Sagittarii,1370,8.8,4.5,TRUE
2,V4199 Sagittarii,689,4.2,2.9,TRUE
2,RS Sagittarii,1420,7.18,5.11,FALSE
2,HD 181342,394,1.78,4.55,FALSE
2,HD 187085,1010,1.19,1.23,FALSE
2,SWEEPS J175853.92,27700,1.24,1.18,FALSE
2,WASP-67,621,0.91,0.88,FALSE
2,KW Sagittarii,7890,4.89,1009,FALSE
2,WR 102ea,26000,58,86,FALSE
2,OGLE-TR-10,5000,1.18,1.15,FALSE
3,38 Lyncis,117,1.9,3.07,TRUE
3,31 Lyncis,380,1.95,53.27,TRUE
3,2 Lyncis,157,2.32,2.2,TRUE
3,36 Lyncis,620,4.2,4.21,TRUE
3,50 Camelopardalis,430,3.1,5.4,TRUE
3,6 Lyncis,178,1.46,5.2,TRUE
3,Y Lyncis,1160,1.5,580,FALSE
3,HD 75898,255,1.26,1.58,FALSE
3,SZ Lyncis,1700,1.7,2.68,FALSE
3,SW Lyncis,970,1.77,1.76,FALSE
3,WASP-13,753,1.2,1.5,FALSE
3,XO-4,896,1.32,1.56,FALSE
3,XO-5,910,0.88,1.08,FALSE
4,Epsilon Pegasi,690,7.07,211,TRUE
4,Beta Pegasi,196,2.1,95,TRUE
4,Alpha Pegasi,133,3.5,4.62,TRUE
4,Gamma Pegasi,470,8.9,4.8,TRUE
4,Eta Pegasi,196,3.51,24.51,TRUE
4,Zeta Pegasi,204,3.22,4.03,TRUE
4,Mu Pegasi,106,2.7,9.6,TRUE
4,Theta Pegasi,92,2.09,2.6,TRUE
4,Iota Pegasi,38,1.33,1.53,TRUE
4,Nu Pegasi,261,1.13,24.57,TRUE
4,Chi Pegasi,368,1.06,53,TRUE
4,Phi Pegasi,460,1.57,62.7,TRUE
4,Upsilon Pegasi,170,2.17,5.97,TRUE
4,Rho Pegasi,274,2.84,3.1,TRUE
4,IM Pegasi,292,1.8,13.3,TRUE
4,33 Pegasi,109,1.28,1.29,FALSE
4,WASP-21,849,0.89,1.14,FALSE
4,WASP-52,570,0.87,0.79,FALSE
4,WASP-60,1420,1.22,1.4,FALSE
4,WASP-10,462,0.71,0.78,FALSE
5,Eta Piscium,350,3.78,26.48,TRUE
5,Gamma Piscium,138,1.11,11.28,TRUE
5,Omicron Piscium,280,3.03,14.57,TRUE
5,Epsilon Piscium,182,2.27,10.9,TRUE
5,Theta Piscium,149,1.58,11,TRUE
5,Delta Piscium,311,1.65,44,TRUE
5,Nu Piscium,363,1.66,34,TRUE
5,Beta Piscium,410,4.7,3.6,TRUE
5,Lambda Piscium,106,1.8,2,TRUE
5,Rho Piscium,82,1.31,1.1,TRUE
5,HD 6,471,1.95,12.4,TRUE
5,107 Piscium,25,0.86,0.82,TRUE
5,HR 515,503,1.7,4.7,FALSE
5,101 Piscium,1400,4.53,3.6,FALSE
5,WASP-32,910,1.1,1.11,FALSE
5,van Maanen 2,14,0.67,0.011,FALSE
5,WASP-76,640,1.46,1.73,FALSE